Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,66.500,0.020,15.007,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,entry_proc_U0,0.013,0.000,0.000,0.000
vadd_1,read_input_U0,65.554,0.000,0.000,0.000
vadd_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,64.581,0.000,0.000,0.000
vadd_1,read_input_1_U0,65.554,0.000,0.000,0.000
vadd_1,compute_add_U0,65.554,0.000,0.000,0.000
vadd_1,compute_add_U0/grp_compute_add_Pipeline_execute_fu_52,65.527,0.000,0.000,0.000
vadd_1,write_result_U0,66.487,0.020,15.007,0.000
vadd_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,65.527,0.000,15.007,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
vadd_1,m_axi_gmem0,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem1,0.000,0.000,0.000,0.000

